Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CIPLA,EQ,12-04-2019,544.85,547.95,556.7,545.3,553,554.85,552.67,4347530,2402737962,51634,2342561,53.88
CIPLA,EQ,15-04-2019,554.85,555,569.2,552,566.7,566.3,560.12,2252373,1261588699,33617,519917,23.08
CIPLA,EQ,16-04-2019,566.3,570,571.75,556.6,558.65,559.35,561.75,2246831,1262167293,62946,850346,37.85
CIPLA,EQ,18-04-2019,559.35,562,566.65,553.2,561,561.55,560.49,2306549,1292807482,62659,819660,35.54
CIPLA,EQ,22-04-2019,561.55,560,566,556.6,560,561.1,562.05,1205612,677612519.6,31923,364028,30.19
CIPLA,EQ,23-04-2019,561.1,562.5,575.95,560.4,562,561.7,566.35,2179959,1234610677,42020,396919,18.21
CIPLA,EQ,24-04-2019,561.7,561.4,564.5,553.2,558.7,558.55,558.61,1896565,1059439547,37383,815249,42.99
CIPLA,EQ,25-04-2019,558.55,558.7,563.95,551.15,558.25,555.6,557.74,2416194,1347614397,44387,1166489,48.28
CIPLA,EQ,26-04-2019,555.6,558.25,572.9,557.2,568.6,567.95,567.45,2593397,1471611373,83683,805402,31.06
CIPLA,EQ,30-04-2019,567.95,569.9,571.05,558.65,563,565,563.87,1914026,1079264962,34234,950719,49.67
CIPLA,EQ,02-05-2019,565,563,569.7,556.7,568,565.6,563.21,1700976,958002277.6,31137,637179,37.46
CIPLA,EQ,03-05-2019,565.6,568,573,561.65,562.95,564.5,566.8,2758638,1563608341,31378,1329400,48.19
CIPLA,EQ,06-05-2019,564.5,556,564.5,556,564,563.35,561.26,1715311,962740282,38504,788643,45.98
CIPLA,EQ,07-05-2019,563.35,564,566.3,555.15,557.25,557.95,560.62,1478212,828716850.2,27928,724475,49.01
CIPLA,EQ,08-05-2019,557.95,556,561.4,549,560,558,555.57,1890174,1050132123,37924,695243,36.78
CIPLA,EQ,09-05-2019,558,559.9,561.05,548.7,556.1,557.75,554.26,1672967,927262424.9,28267,562752,33.64
CIPLA,EQ,10-05-2019,557.75,557.75,562.7,551,552.8,555.55,557.24,1687480,940338775.4,40212,843719,50
CIPLA,EQ,13-05-2019,555.55,552,556.75,529.6,550.15,546.7,549.22,2027570,1113590825,43071,720797,35.55
CIPLA,EQ,14-05-2019,546.7,546,560.75,541.2,555.6,556,552.07,1822829,1006336458,35328,588939,32.31
CIPLA,EQ,15-05-2019,556,554,562.5,551.5,555,555.7,557.23,1396473,778160305.5,34557,522771,37.44
CIPLA,EQ,16-05-2019,555.7,554,556.7,541.05,549.15,550.2,549.26,2589467,1422280304,38029,1131782,43.71
CIPLA,EQ,17-05-2019,550.2,549,551.95,541,542.85,544.15,544.86,1194005,650569870,37695,338318,28.33
CIPLA,EQ,20-05-2019,544.15,560,567,550.4,565.9,565.45,560.18,1586746,888870091.7,25841,397852,25.07
CIPLA,EQ,21-05-2019,565.45,565.45,580,552.75,558.65,559.35,566.95,4286383,2430185294,69702,1251935,29.21
CIPLA,EQ,22-05-2019,559.35,562,574,550.05,553.9,553,562.93,7762734,4369865686,133426,1791841,23.08
CIPLA,EQ,23-05-2019,553,561.9,568.9,543.75,565.2,564.75,560.32,5640728,3160630323,108433,2719330,48.21
CIPLA,EQ,24-05-2019,564.75,569.2,572.5,559.45,570.3,570.6,567.76,1796355,1019898070,55681,437911,24.38
CIPLA,EQ,27-05-2019,570.6,570,586,568,577.5,578.7,579.88,1959075,1136031109,44831,486623,24.84
CIPLA,EQ,28-05-2019,578.7,579,584.2,571.5,578.05,577.95,578.03,2469586,1427500705,104488,1467327,59.42
CIPLA,EQ,29-05-2019,577.95,577.4,582.45,559.9,561.75,564.35,571.96,1948077,1114218559,54016,816674,41.92
CIPLA,EQ,30-05-2019,564.35,560.1,563.5,554.25,562,561.95,560.38,2577559,1444405598,47057,1370332,53.16
CIPLA,EQ,31-05-2019,561.95,562.7,569,550.85,558.55,558.85,560.75,1912387,1072376365,43444,948204,49.58
CIPLA,EQ,03-06-2019,558.85,559,569.45,552.5,568,568.25,562.13,1284381,721993789.8,25347,572120,44.54
CIPLA,EQ,04-06-2019,568.25,564,575,561.1,561.2,562.65,566.52,1558827,883110952.7,31433,650568,41.73
CIPLA,EQ,06-06-2019,562.65,565,568.3,556.55,559.85,559.8,562.92,1750285,985275084.9,28006,673539,38.48
CIPLA,EQ,07-06-2019,559.8,565,565,542,549.55,549.5,548.98,2696228,1480186756,55944,890022,33.01
CIPLA,EQ,10-06-2019,549.5,550.6,562.6,550,554.35,554.55,555.83,1708042,949373536.1,26618,350331,20.51
CIPLA,EQ,11-06-2019,554.55,555.4,566.4,551,562,559.85,560.58,2518184,1411648069,47399,874055,34.71
CIPLA,EQ,12-06-2019,559.85,558.9,567,556.25,562,561.6,562.85,1253337,705445985.2,18676,308185,24.59
CIPLA,EQ,13-06-2019,561.6,560.05,566.6,559.25,563,564.6,563.81,1594956,899252138.9,34577,674536,42.29
CIPLA,EQ,14-06-2019,564.6,560.15,564.45,554.15,555.6,555.6,558.53,1808363,1010028892,65197,942037,52.09
CIPLA,EQ,17-06-2019,555.6,555.5,556.6,543.85,545.15,545.15,549.16,1267159,695879344.5,23599,456520,34.85
CIPLA,EQ,18-06-2019,545.15,545.2,555.5,545.05,549.5,547.6,550.62,1257992,692678954.2,37926,330355,25.79
CIPLA,EQ,19-06-2019,547.6,550.6,551.9,532.55,533.3,533.7,541.3,1137906,615945772.4,23504,299883,26.35
CIPLA,EQ,20-06-2019,533.7,531.8,552.45,528.65,551.9,551.3,541.37,1986432,1075387805,51530,422163,21.25
CIPLA,EQ,21-06-2019,551.3,549.85,553.8,545.2,550.2,551.55,550.37,1534007,844273537.4,28834,813672,53.04
CIPLA,EQ,24-06-2019,551.55,548.55,552.45,545.1,550,549.9,549,981017,538578146.2,27360,480872,49.02
CIPLA,EQ,25-06-2019,549.9,548.95,554.95,546.55,550.05,550.05,550.88,805704,443848913,19184,294126,36.51
